Vivado Simulator 2018.2
Time resolution is 1 ps
T =   20.0 ps | State = RESET  | Next State = FETCH  | PC = 00000000 | IR = 00000000
T =   30.0 ps | State = FETCH  | Next State = DECODE | PC = 00000000 | IR = 00000000
T =   40.0 ps | State = DECODE | Next State = R-Type | PC = 00000004 | IR = 0000001f
T =   51.0 ps | State = SETIE  | Next State = FETCH  | PC = 00000004 | IR = 0000001f
T =   60.0 ps | State = FETCH  | Next State = DECODE | PC = 00000004 | IR = 0000001f
T =   70.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000008 | IR = 3c011234
T =   81.0 ps | State = LUI    | Next State = WB_imm | PC = 00000008 | IR = 3c011234
T =   90.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000008 | IR = 3c011234
T =  100.0 ps | State = FETCH  | Next State = DECODE | PC = 00000008 | IR = 3c011234
T =  110.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000000c | IR = 34215678
T =  121.0 ps | State = ORI    | Next State = WB_imm | PC = 0000000c | IR = 34215678
T =  130.0 ps | State = WB_imm | Next State = FETCH  | PC = 0000000c | IR = 34215678
T =  140.0 ps | State = FETCH  | Next State = DECODE | PC = 0000000c | IR = 34215678
T =  150.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000010 | IR = 3c028765
T =  161.0 ps | State = LUI    | Next State = WB_imm | PC = 00000010 | IR = 3c028765
T =  170.0 ps | Interrupt Request Signal HIGH
T =  170.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000010 | IR = 3c028765
T =  180.0 ps | State = FETCH  | Next State = INTR_1 | PC = 00000010 | IR = 3c028765
D_in: zzzzzzzz | ALU_OUT: 00000010 | dMem_out: zzzzzzzz
T =  190.0 ps | State = INTR_1 | Next State = INTR_2 | PC = 00000010 | IR = 3c028765
D_in: zzzzzzzz | ALU_OUT: 00000010 | dMem_out: zzzzzzzz
T =  200.0 ps | State = INTR_2 | Next State = INTR_3 | PC = 00000010 | IR = 3c028765
D_in: 00000200 | ALU_OUT: 000003fc | dMem_out: 00000200
T =  210.0 ps | State = INTR_3 | Next State = INTR_4 | PC = 00000010 | IR = 3c028765
D_in: 00000200 | ALU_OUT: 000003fc | dMem_out: 00000200
T =  220.0 ps | State = INTR_4 | Next State = FETCH  | PC = 00000010 | IR = 3c028765
T =  220.0 ps | Interrupt Acknowledge Signal Received
T =  220.0 ps | Interrupt Request Signal LOW
T =  230.0 ps | State = FETCH  | Next State = DECODE | PC = 00000200 | IR = 3c028765
T =  240.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000204 | IR = 3c101001
T =  251.0 ps | State = LUI    | Next State = WB_imm | PC = 00000204 | IR = 3c101001
T =  260.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000204 | IR = 3c101001
T =  270.0 ps | State = FETCH  | Next State = DECODE | PC = 00000204 | IR = 3c101001
T =  280.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000208 | IR = 361000c0
T =  291.0 ps | State = ORI    | Next State = WB_imm | PC = 00000208 | IR = 361000c0
T =  300.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000208 | IR = 361000c0
T =  310.0 ps | State = FETCH  | Next State = DECODE | PC = 00000208 | IR = 361000c0
T =  320.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000020c | IR = 3c118000
T =  331.0 ps | State = LUI    | Next State = WB_imm | PC = 0000020c | IR = 3c118000
T =  340.0 ps | State = WB_imm | Next State = FETCH  | PC = 0000020c | IR = 3c118000
T =  350.0 ps | State = FETCH  | Next State = DECODE | PC = 0000020c | IR = 3c118000
T =  360.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000210 | IR = 3631ffff
T =  371.0 ps | State = ORI    | Next State = WB_imm | PC = 00000210 | IR = 3631ffff
T =  380.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000210 | IR = 3631ffff
T =  390.0 ps | State = FETCH  | Next State = DECODE | PC = 00000210 | IR = 3631ffff
T =  400.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000214 | IR = 20120010
T =  411.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000214 | IR = 20120010
T =  420.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000214 | IR = 20120010
T =  430.0 ps | State = FETCH  | Next State = DECODE | PC = 00000214 | IR = 20120010
T =  440.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000218 | IR = 76110000
T =  450.0 ps | State =OUTPUT_1| Next State =OUTPUT_2| PC = 00000218 | IR = 76110000
T =  460.0 ps | State =OUTPUT_2| Next State = FETCH  | PC = 00000218 | IR = 76110000
T =  470.0 ps | State = FETCH  | Next State = DECODE | PC = 00000218 | IR = 76110000
T =  480.0 ps | State = DECODE | Next State = R-Type | PC = 0000021c | IR = 00118883
T =  491.0 ps | State = SRA    | Next State = WB_alu | PC = 0000021c | IR = 00118883
T =  500.0 ps | State = WB_alu | Next State = FETCH  | PC = 0000021c | IR = 00118883
T =  510.0 ps | State = FETCH  | Next State = DECODE | PC = 0000021c | IR = 00118883
T =  520.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000220 | IR = 22100004
T =  531.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000220 | IR = 22100004
T =  540.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000220 | IR = 22100004
T =  550.0 ps | State = FETCH  | Next State = DECODE | PC = 00000220 | IR = 22100004
T =  560.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000224 | IR = 2252ffff
T =  571.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000224 | IR = 2252ffff
T =  580.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000224 | IR = 2252ffff
T =  590.0 ps | State = FETCH  | Next State = DECODE | PC = 00000224 | IR = 2252ffff
T =  600.0 ps | State = DECODE | Next State = R-Type | PC = 00000228 | IR = 1640fffb
T =  611.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 00000228 | IR = 1640fffb
T =  620.0 ps | State = BNE_2  | Next State = FETCH  | PC = 00000228 | IR = 1640fffb
T =  630.0 ps | State = FETCH  | Next State = DECODE | PC = 00000214 | IR = 1640fffb
T =  640.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000218 | IR = 76110000
T =  650.0 ps | State =OUTPUT_1| Next State =OUTPUT_2| PC = 00000218 | IR = 76110000
T =  660.0 ps | State =OUTPUT_2| Next State = FETCH  | PC = 00000218 | IR = 76110000
T =  670.0 ps | State = FETCH  | Next State = DECODE | PC = 00000218 | IR = 76110000
T =  680.0 ps | State = DECODE | Next State = R-Type | PC = 0000021c | IR = 00118883
T =  691.0 ps | State = SRA    | Next State = WB_alu | PC = 0000021c | IR = 00118883
T =  700.0 ps | State = WB_alu | Next State = FETCH  | PC = 0000021c | IR = 00118883
T =  710.0 ps | State = FETCH  | Next State = DECODE | PC = 0000021c | IR = 00118883
T =  720.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000220 | IR = 22100004
T =  731.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000220 | IR = 22100004
T =  740.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000220 | IR = 22100004
T =  750.0 ps | State = FETCH  | Next State = DECODE | PC = 00000220 | IR = 22100004
T =  760.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000224 | IR = 2252ffff
T =  771.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000224 | IR = 2252ffff
T =  780.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000224 | IR = 2252ffff
T =  790.0 ps | State = FETCH  | Next State = DECODE | PC = 00000224 | IR = 2252ffff
T =  800.0 ps | State = DECODE | Next State = R-Type | PC = 00000228 | IR = 1640fffb
T =  811.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 00000228 | IR = 1640fffb
T =  820.0 ps | State = BNE_2  | Next State = FETCH  | PC = 00000228 | IR = 1640fffb
T =  830.0 ps | State = FETCH  | Next State = DECODE | PC = 00000214 | IR = 1640fffb
T =  840.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000218 | IR = 76110000
T =  850.0 ps | State =OUTPUT_1| Next State =OUTPUT_2| PC = 00000218 | IR = 76110000
T =  860.0 ps | State =OUTPUT_2| Next State = FETCH  | PC = 00000218 | IR = 76110000
T =  870.0 ps | State = FETCH  | Next State = DECODE | PC = 00000218 | IR = 76110000
T =  880.0 ps | State = DECODE | Next State = R-Type | PC = 0000021c | IR = 00118883
T =  891.0 ps | State = SRA    | Next State = WB_alu | PC = 0000021c | IR = 00118883
T =  900.0 ps | State = WB_alu | Next State = FETCH  | PC = 0000021c | IR = 00118883
T =  910.0 ps | State = FETCH  | Next State = DECODE | PC = 0000021c | IR = 00118883
T =  920.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000220 | IR = 22100004
T =  931.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000220 | IR = 22100004
T =  940.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000220 | IR = 22100004
T =  950.0 ps | State = FETCH  | Next State = DECODE | PC = 00000220 | IR = 22100004
T =  960.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000224 | IR = 2252ffff
T =  971.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000224 | IR = 2252ffff
T =  980.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000224 | IR = 2252ffff
T =  990.0 ps | State = FETCH  | Next State = DECODE | PC = 00000224 | IR = 2252ffff
T = 1000.0 ps | State = DECODE | Next State = R-Type | PC = 00000228 | IR = 1640fffb
T = 1011.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 00000228 | IR = 1640fffb
T = 1020.0 ps | State = BNE_2  | Next State = FETCH  | PC = 00000228 | IR = 1640fffb
T = 1030.0 ps | State = FETCH  | Next State = DECODE | PC = 00000214 | IR = 1640fffb
T = 1040.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000218 | IR = 76110000
T = 1050.0 ps | State =OUTPUT_1| Next State =OUTPUT_2| PC = 00000218 | IR = 76110000
T = 1060.0 ps | State =OUTPUT_2| Next State = FETCH  | PC = 00000218 | IR = 76110000
T = 1070.0 ps | State = FETCH  | Next State = DECODE | PC = 00000218 | IR = 76110000
T = 1080.0 ps | State = DECODE | Next State = R-Type | PC = 0000021c | IR = 00118883
T = 1091.0 ps | State = SRA    | Next State = WB_alu | PC = 0000021c | IR = 00118883
T = 1100.0 ps | State = WB_alu | Next State = FETCH  | PC = 0000021c | IR = 00118883
T = 1110.0 ps | State = FETCH  | Next State = DECODE | PC = 0000021c | IR = 00118883
T = 1120.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000220 | IR = 22100004
T = 1131.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000220 | IR = 22100004
T = 1140.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000220 | IR = 22100004
T = 1150.0 ps | State = FETCH  | Next State = DECODE | PC = 00000220 | IR = 22100004
T = 1160.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000224 | IR = 2252ffff
T = 1171.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000224 | IR = 2252ffff
T = 1180.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000224 | IR = 2252ffff
T = 1190.0 ps | State = FETCH  | Next State = DECODE | PC = 00000224 | IR = 2252ffff
T = 1200.0 ps | State = DECODE | Next State = R-Type | PC = 00000228 | IR = 1640fffb
T = 1211.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 00000228 | IR = 1640fffb
T = 1220.0 ps | State = BNE_2  | Next State = FETCH  | PC = 00000228 | IR = 1640fffb
T = 1230.0 ps | State = FETCH  | Next State = DECODE | PC = 00000214 | IR = 1640fffb
T = 1240.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000218 | IR = 76110000
T = 1250.0 ps | State =OUTPUT_1| Next State =OUTPUT_2| PC = 00000218 | IR = 76110000
T = 1260.0 ps | State =OUTPUT_2| Next State = FETCH  | PC = 00000218 | IR = 76110000
T = 1270.0 ps | State = FETCH  | Next State = DECODE | PC = 00000218 | IR = 76110000
T = 1280.0 ps | State = DECODE | Next State = R-Type | PC = 0000021c | IR = 00118883
T = 1291.0 ps | State = SRA    | Next State = WB_alu | PC = 0000021c | IR = 00118883
T = 1300.0 ps | State = WB_alu | Next State = FETCH  | PC = 0000021c | IR = 00118883
T = 1310.0 ps | State = FETCH  | Next State = DECODE | PC = 0000021c | IR = 00118883
T = 1320.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000220 | IR = 22100004
T = 1331.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000220 | IR = 22100004
T = 1340.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000220 | IR = 22100004
T = 1350.0 ps | State = FETCH  | Next State = DECODE | PC = 00000220 | IR = 22100004
T = 1360.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000224 | IR = 2252ffff
