Vivado Simulator 2018.2
Time resolution is 1 ps
T =   30.0 ps | State = RESET  | Next State = FETCH  | PC = 00000000 | IR = 00000000
T =  260.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000014 | IR = 8de30008
T =  270.0 ps | State = FETCH  | Next State = DECODE | PC = 00000014 | IR = 8de30008
T =  280.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000018 | IR = 8de4000c
T =  290.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000018 | IR = 8de4000c
T =  300.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000018 | IR = 8de4000c
T =  310.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000018 | IR = 8de4000c
T =  320.0 ps | State = FETCH  | Next State = DECODE | PC = 00000018 | IR = 8de4000c
T =  330.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000001c | IR = 8de50010
T =  340.0 ps | State = LW_1   | Next State = LW_2   | PC = 0000001c | IR = 8de50010
T =  350.0 ps | State = LW_2   | Next State = WB_lw   | PC = 0000001c | IR = 8de50010
T =  360.0 ps | State = WB_lw  | Next State = FETCH  | PC = 0000001c | IR = 8de50010
T =  370.0 ps | State = FETCH  | Next State = DECODE | PC = 0000001c | IR = 8de50010
T =  380.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000020 | IR = 8de60014
T =  390.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000020 | IR = 8de60014
T =  400.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000020 | IR = 8de60014
T =  410.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000020 | IR = 8de60014
T =  420.0 ps | State = FETCH  | Next State = DECODE | PC = 00000020 | IR = 8de60014
T =  430.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000024 | IR = 8de70018
T =  440.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000024 | IR = 8de70018
T =  450.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000024 | IR = 8de70018
T =  460.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000024 | IR = 8de70018
T =  470.0 ps | State = FETCH  | Next State = DECODE | PC = 00000024 | IR = 8de70018
T =  480.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000028 | IR = 8de8001c
T =  490.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000028 | IR = 8de8001c
T =  500.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000028 | IR = 8de8001c
T =  510.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000028 | IR = 8de8001c
T =  520.0 ps | State = FETCH  | Next State = DECODE | PC = 00000028 | IR = 8de8001c
T =  530.0 ps | State = DECODE | Next State = R-Type | PC = 0000002c | IR = 0022001a
T =  541.0 ps | State = DIV    | Next State = FETCH  | PC = 0000002c | IR = 0022001a
T =  550.0 ps | State = FETCH  | Next State = DECODE | PC = 0000002c | IR = 0022001a
T =  560.0 ps | State = DECODE | Next State = R-Type | PC = 00000030 | IR = 00004812
T =  570.0 ps | State = MFLO   | Next State = FETCH  | PC = 00000030 | IR = 00004812
T =  580.0 ps | State = FETCH  | Next State = DECODE | PC = 00000030 | IR = 00004812
T =  590.0 ps | State = DECODE | Next State = R-Type | PC = 00000034 | IR = 00005010
T =  600.0 ps | State = MFHI   | Next State = FETCH  | PC = 00000034 | IR = 00005010
T =  610.0 ps | State = FETCH  | Next State = DECODE | PC = 00000034 | IR = 00005010
T =  620.0 ps | State = DECODE | Next State = R-Type | PC = 00000038 | IR = 15250016
T =  631.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 00000038 | IR = 15250016
T =  640.0 ps | State = BNE_2  | Next State = FETCH  | PC = 00000038 | IR = 15250016
T =  650.0 ps | State = FETCH  | Next State = DECODE | PC = 00000038 | IR = 15250016
T =  660.0 ps | State = DECODE | Next State = R-Type | PC = 0000003c | IR = 15460018
T =  671.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0000003c | IR = 15460018
T =  680.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000003c | IR = 15460018
T =  690.0 ps | State = FETCH  | Next State = DECODE | PC = 0000003c | IR = 15460018
T =  700.0 ps | State = DECODE | Next State = R-Type | PC = 00000040 | IR = 0062001a
T =  711.0 ps | State = DIV    | Next State = FETCH  | PC = 00000040 | IR = 0062001a
T =  720.0 ps | State = FETCH  | Next State = DECODE | PC = 00000040 | IR = 0062001a
T =  730.0 ps | State = DECODE | Next State = R-Type | PC = 00000044 | IR = 00004812
T =  740.0 ps | State = MFLO   | Next State = FETCH  | PC = 00000044 | IR = 00004812
T =  750.0 ps | State = FETCH  | Next State = DECODE | PC = 00000044 | IR = 00004812
T =  760.0 ps | State = DECODE | Next State = R-Type | PC = 00000048 | IR = 00005010
T =  770.0 ps | State = MFHI   | Next State = FETCH  | PC = 00000048 | IR = 00005010
T =  780.0 ps | State = FETCH  | Next State = DECODE | PC = 00000048 | IR = 00005010
T =  790.0 ps | State = DECODE | Next State = R-Type | PC = 0000004c | IR = 15270017
T =  801.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0000004c | IR = 15270017
T =  810.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000004c | IR = 15270017
T =  820.0 ps | State = FETCH  | Next State = DECODE | PC = 0000004c | IR = 15270017
T =  830.0 ps | State = DECODE | Next State = R-Type | PC = 00000050 | IR = 15480019
T =  841.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 00000050 | IR = 15480019
T =  850.0 ps | State = BNE_2  | Next State = FETCH  | PC = 00000050 | IR = 15480019
T =  860.0 ps | State = FETCH  | Next State = DECODE | PC = 00000050 | IR = 15480019
T =  870.0 ps | State = DECODE | Next State = R-Type | PC = 00000054 | IR = 0024001a
T =  881.0 ps | State = DIV    | Next State = FETCH  | PC = 00000054 | IR = 0024001a
T =  890.0 ps | State = FETCH  | Next State = DECODE | PC = 00000054 | IR = 0024001a
T =  900.0 ps | State = DECODE | Next State = R-Type | PC = 00000058 | IR = 00004812
T =  910.0 ps | State = MFLO   | Next State = FETCH  | PC = 00000058 | IR = 00004812
T =  920.0 ps | State = FETCH  | Next State = DECODE | PC = 00000058 | IR = 00004812
T =  930.0 ps | State = DECODE | Next State = R-Type | PC = 0000005c | IR = 00005010
T =  940.0 ps | State = MFHI   | Next State = FETCH  | PC = 0000005c | IR = 00005010
T =  950.0 ps | State = FETCH  | Next State = DECODE | PC = 0000005c | IR = 00005010
T =  960.0 ps | State = DECODE | Next State = R-Type | PC = 00000060 | IR = 15270018
T =  971.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 00000060 | IR = 15270018
T =  980.0 ps | State = BNE_2  | Next State = FETCH  | PC = 00000060 | IR = 15270018
T =  990.0 ps | State = FETCH  | Next State = DECODE | PC = 00000060 | IR = 15270018
T = 1000.0 ps | State = DECODE | Next State = R-Type | PC = 00000064 | IR = 1546001a
T = 1011.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 00000064 | IR = 1546001a
T = 1020.0 ps | State = BNE_2  | Next State = FETCH  | PC = 00000064 | IR = 1546001a
T = 1030.0 ps | State = FETCH  | Next State = DECODE | PC = 00000064 | IR = 1546001a
T = 1040.0 ps | State = DECODE | Next State = R-Type | PC = 00000068 | IR = 0064001a
T = 1051.0 ps | State = DIV    | Next State = FETCH  | PC = 00000068 | IR = 0064001a
T = 1060.0 ps | State = FETCH  | Next State = DECODE | PC = 00000068 | IR = 0064001a
T = 1070.0 ps | State = DECODE | Next State = R-Type | PC = 0000006c | IR = 00004812
T = 1080.0 ps | State = MFLO   | Next State = FETCH  | PC = 0000006c | IR = 00004812
T = 1090.0 ps | State = FETCH  | Next State = DECODE | PC = 0000006c | IR = 00004812
T = 1100.0 ps | State = DECODE | Next State = R-Type | PC = 00000070 | IR = 00005010
T = 1110.0 ps | State = MFHI   | Next State = FETCH  | PC = 00000070 | IR = 00005010
T = 1120.0 ps | State = FETCH  | Next State = DECODE | PC = 00000070 | IR = 00005010
T = 1130.0 ps | State = DECODE | Next State = R-Type | PC = 00000074 | IR = 15250019
T = 1141.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 00000074 | IR = 15250019
T = 1150.0 ps | State = BNE_2  | Next State = FETCH  | PC = 00000074 | IR = 15250019
T = 1160.0 ps | State = FETCH  | Next State = DECODE | PC = 00000074 | IR = 15250019
T = 1170.0 ps | State = DECODE | Next State = R-Type | PC = 00000078 | IR = 1548001b
T = 1181.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 00000078 | IR = 1548001b
T = 1190.0 ps | State = BNE_2  | Next State = FETCH  | PC = 00000078 | IR = 1548001b
T = 1200.0 ps | State = FETCH  | Next State = DECODE | PC = 00000078 | IR = 1548001b
T = 1210.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000007c | IR = 3c0b0000
T = 1221.0 ps | State = LUI    | Next State = WB_imm | PC = 0000007c | IR = 3c0b0000
T = 1230.0 ps | State = WB_imm | Next State = FETCH  | PC = 0000007c | IR = 3c0b0000
T = 1240.0 ps | State = FETCH  | Next State = DECODE | PC = 0000007c | IR = 3c0b0000
T = 1250.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000080 | IR = 356b0000
T = 1261.0 ps | State = ORI    | Next State = WB_imm | PC = 00000080 | IR = 356b0000
T = 1270.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000080 | IR = 356b0000
T = 1280.0 ps | State = FETCH  | Next State = DECODE | PC = 00000080 | IR = 356b0000
T = 1290.0 ps | State = DECODE | Next State = R-Type | PC = 00000084 | IR = 000b6020
T = 1301.0 ps | State = ADD    | Next State = WB_alu | PC = 00000084 | IR = 000b6020
T = 1310.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000084 | IR = 000b6020
T = 1320.0 ps | State = FETCH  | Next State = DECODE | PC = 00000084 | IR = 000b6020
T = 1330.0 ps | State = DECODE | Next State = R-Type | PC = 00000088 | IR = 000b6820
T = 1341.0 ps | State = ADD    | Next State = WB_alu | PC = 00000088 | IR = 000b6820
T = 1350.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000088 | IR = 000b6820
T = 1360.0 ps | State = FETCH  | Next State = DECODE | PC = 00000088 | IR = 000b6820
T = 1370.0 ps | State = DECODE | Next State = R-Type | PC = 0000008c | IR = 000b7020
T = 1381.0 ps | State = ADD    | Next State = WB_alu | PC = 0000008c | IR = 000b7020
T = 1390.0 ps | State = WB_alu | Next State = FETCH  | PC = 0000008c | IR = 000b7020
T = 1400.0 ps | State = FETCH  | Next State = DECODE | PC = 0000008c | IR = 000b7020
T = 1410.0 ps | State = DECODE | Next State = R-Type | PC = 00000090 | IR = 0000000d
BREAK INSTRUCTION FETCHED 1415.0 ps
 
D i s p l a y i n g   C o n t e n t s   o f   R e g f i l e
R [  0 ]   =   00000000    |   R [         16 ]   =   xxxxxxxx
R [  1 ]   =   00040911    |   R [         17 ]   =   xxxxxxxx
R [  2 ]   =   000003e8    |   R [         18 ]   =   xxxxxxxx
R [  3 ]   =   fffbf6ef    |   R [         19 ]   =   xxxxxxxx
R [  4 ]   =   fffffc18    |   R [         20 ]   =   xxxxxxxx
R [  5 ]   =   00000108    |   R [         21 ]   =   xxxxxxxx
R [  6 ]   =   000001d1    |   R [         22 ]   =   xxxxxxxx
R [  7 ]   =   fffffef8    |   R [         23 ]   =   xxxxxxxx
R [  8 ]   =   fffffe2f    |   R [         24 ]   =   xxxxxxxx
R [  9 ]   =   00000108    |   R [         25 ]   =   xxxxxxxx
R [ 10 ]   =   fffffe2f    |   R [         26 ]   =   xxxxxxxx
R [ 11 ]   =   00000000    |   R [         27 ]   =   xxxxxxxx
R [ 12 ]   =   00000000    |   R [         28 ]   =   xxxxxxxx
R [ 13 ]   =   00000000    |   R [         29 ]   =   00000000
R [ 14 ]   =   00000000    |   R [         30 ]   =   xxxxxxxx
R [ 15 ]   =   10010000    |   R [         31 ]   =   xxxxxxxx
 
D i s p l a y i n g   C o n t e n t s   o f   D a t a   M e m o r y
d M e m [ 0c0 ]   =   0xxxxxxxxx
d M e m [ 0c4 ]   =   0xxxxxxxxx
d M e m [ 0c8 ]   =   0xxxxxxxxx
d M e m [ 0cc ]   =   0xxxxxxxxx
d M e m [ 0d0 ]   =   0xxxxxxxxx
d M e m [ 0d4 ]   =   0xxxxxxxxx
d M e m [ 0d8 ]   =   0xxxxxxxxx
d M e m [ 0dc ]   =   0xxxxxxxxx
d M e m [ 0e0 ]   =   0xxxxxxxxx
d M e m [ 0e4 ]   =   0xxxxxxxxx
d M e m [ 0e8 ]   =   0xxxxxxxxx
d M e m [ 0ec ]   =   0xxxxxxxxx
d M e m [ 0f0 ]   =   0xxxxxxxxx
d M e m [ 0f4 ]   =   0xxxxxxxxx
d M e m [ 0f8 ]   =   0xxxxxxxxx
d M e m [ 0fc ]   =   0xxxxxxxxx
$finish called at time : 1420 ns : File "C:/Users/Jesus Luciano/Desktop/MIPS_CPU/Execution_Unit_modified/Execution_Unit.srcs/sources_1/new/MCU.v" Line 929
